Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Beaulieu Road,SO42 7YQ,50.8550493435382,-1.50474962699015,BEU,5890,South Western Railway,16038,0
Beauly,IV4 7EF,57.4782879378611,-4.46986686037102,BEL,8877,ScotRail,38376,0
Bebington,CH63 7LA,53.3576570664328,-3.00363517233964,BEB,2188,Merseyrail,806496,0
Beccles,NR34 9QJ,52.4585181871493,1.5694932615698,BCC,7258,Greater Anglia,118074,0
Beckenham Hill,SE6 3RE,51.4245808668055,-0.0159511139458484,BEC,5076,Govia Thameslink Railway (Thameslink),352542,0
Beckenham Junction,BR3 1HY,51.4111718661491,-0.0260225635677561,BKJ,5046,Southeastern,1632760,33077
Bedford,MK40 1DS,52.1361864656103,-0.479442379912954,BDM,1512,Govia Thameslink Railway (Thameslink),3247246,41248
Bedford St Johns,MK42 9AN,52.1294772366621,-0.467501028060375,BSJ,1510,West Midlands Trains (London Northwestern Railway),151452,0
Bedhampton,PO9 1LL,50.8539566355958,-0.99582843515536,BDH,5538,South Western Railway,101194,0
Bedminster,BS3 4LU,51.4400904239394,-2.59414932604792,BMT,3245,Great Western Railway,122906,0
Bedworth,CV12 8JG,52.4792974206142,-1.46739223305473,BEH,1165,West Midlands Trains (West Midlands Railway),52904,0
Bedwyn,SN8 5RD,51.3796409426581,-1.59878627020561,BDW,3070,Great Western Railway,93570,0
Beeston,NG9 2AB,52.9207551214346,-1.20765801407939,BEE,1625,East Midlands Railway,518670,43282
Bekesbourne,CT4 5EP,51.2613539349877,1.13670763163281,BKS,5198,Southeastern,29130,0
Belle Vue,M18 1AA,53.4623764935822,-2.18050724055323,BLV,2785,Northern Trains,12580,0
Bellgrove,G31 1SG,55.8567093051092,-4.22437490020632,BLG,9895,ScotRail,718628,19351
Bellingham,SE6 3BT,51.4329113825773,-0.0193308081217253,BGM,5062,Govia Thameslink Railway (Thameslink),603716,0
Bellshill,ML4 1RJ,55.8170682424416,-4.02449996284266,BLH,9714,ScotRail,620518,70586
Belmont,SM2 6BH,51.3438134158344,-0.198855124360003,BLM,5350,Govia Thameslink Railway (Southern),178278,0
Belper,DE56 1DA,53.0237591485711,-1.48251049959613,BLP,1679,East Midlands Railway,180154,2318
Beltring,TN12 6QH,51.2047063375307,0.403495486821792,BEG,5227,Southeastern,15040,0
Belvedere,DA17 6JJ,51.4921162437256,0.152286098901381,BVD,5092,Southeastern,743882,0
Bempton,YO15 1HN,54.1276580609781,-0.18045684367924,BEM,8047,Northern Trains,20752,0
Ben Rhydding,LS29 8ET,53.9257153348267,-1.79743026313235,BEY,8564,Northern Trains,192156,0
Benfleet,SS7 1NF,51.5439424321207,0.561713345502072,BEF,7439,c2c,2357616,0
Bentham,LA2 7LF,54.1155197017626,-2.51067651046258,BEN,2676,Northern Trains,36766,0
